PRO vs MAX — KEY DIFFERENCES,,,,,,
,,,,,,
Feature,Pro ($20),Max 5x ($100),Max 20x ($200)
Claude Sonnet access,✅ Full,✅ Full,✅ Full
Claude Opus 4.6 access,Limited,✅ Full,✅ Full
Claude Code sessions per day,~3–5 sessions,~25 sessions,~100 sessions
Context window,200k tokens,200k tokens,200k tokens
Priority access (no queue),❌,✅,✅
Best for GearTrad dev speed,Slow — will hit limits,Good — recommended,Best — no limits
Cost per feature built (est.),~$4–6 per session,~$4 per session,$2 per session
,,,,,,
RECOMMENDATION FOR YOU,,,,,,
If you're building GearTrad part-time (a few hours/week): Pro ($20/month),,,,,,
If you're building GearTrad as your main project (daily): Max 5x ($100/month),,,,,,
If you have a co-founder/developer also using Claude: Two Max 5x accounts ($200/month total),,,,,,
,,,,,,
,,,,,,
═══════════════════════════════════════════════,,,,,,
SHEET 3 — TOTAL MONTHLY BUDGET SCENARIOS,,,,,,
═══════════════════════════════════════════════,,,,,,
,,,,,,
Scenario,Supabase,Vercel,Domain,Claude,Total/Month,Total/Year,Best For
,,,,,,
Pre-launch (testing only),$0 Free,$0 Free,$0.92/mo avg,$20 Pro,$20.92,$251,Just testing — do NOT keep DB on free tier long
Launch Ready (solo founder),$25 Pro,$0 Hobby,$0.92/mo avg,$100 Max 5x,$125.92,$1511,"Recommended for launch — real DB, active development"
Production (growing),$25 Pro,$20 Pro,$0.92/mo avg,$100 Max 5x,$145.92,$1751,"After 1k+ users — Vercel Pro for analytics & SLA"
Scaling (5k+ users),$25 Pro,$20 Pro,$0.92/mo avg,$200 Max 20x,$245.92,$2951,Heavy daily development + scaling traffic
,,,,,,
,,,,,,
═══════════════════════════════════════════════,,,,,,
SHEET 4 — CAPACITY: WHAT EACH PLAN HANDLES,,,,,,
═══════════════════════════════════════════════,,,,,,
,,,,,,
Service,Plan,Concurrent Users,Monthly Active Users,Database Rows,Storage,Bandwidth
,,,,,,
Vercel Hobby,Free,Unlimited (serverless),~50k MAU,N/A,N/A,100GB
Vercel Pro,Pro,Unlimited (serverless),500k+ MAU,N/A,N/A,1TB
Supabase Free,Free,~100 concurrent,~1k MAU before pausing,500MB (~2–5M rows),1GB,2GB
Supabase Pro,Pro,~500 concurrent,50k–100k MAU comfortably,8GB (~40–80M rows),100GB,250GB
,,,,,,
WHEN TO UPGRADE,,,,,,
,,,,,,
Trigger,Action,Cost Change
Supabase DB hits 400MB,"Upgrade to Pro immediately",+$25/month
Site starts pausing (free Supabase),Upgrade to Pro immediately,+$25/month
Build minutes running out on Vercel,Upgrade to Pro,$20/month
You start building every day,Upgrade Claude to Max 5x,$80/month more
Traffic exceeds 100GB/month bandwidth,Upgrade Vercel to Pro,$20/month
,,,,,,
,,,,,,
═══════════════════════════════════════════════,,,,,,
SHEET 5 — REVENUE VS COST BREAKEVEN,,,,,,
═══════════════════════════════════════════════,,,,,,
,,,,,,
GearTrad earns 5% on every transaction.,,,,,,
,,,,,,
Monthly GMV (Total Sales Volume),GearTrad Revenue (5%),Infrastructure Cost,Claude Max 5x,Net Profit,Break Even?
,,,,,,
10000 EGP (~$200 USD),$10,~$46,~$100,-$136,❌ Not yet
50000 EGP (~$1000 USD),$50,~$46,~$100,-$96,❌ Not yet
100000 EGP (~$2000 USD),$100,~$46,~$100,-$46,❌ Close
150000 EGP (~$3000 USD),$150,~$46,~$100,$4,✅ Break even
500000 EGP (~$10000 USD),$500,~$66,~$100,$334,✅ Profitable
1000000 EGP (~$20000 USD),$1000,~$66,~$100,$834,✅ Growing
,,,,,,
NOTE: GMV = Gross Merchandise Value (total EGP traded on platform per month),,,,,,
Break even point: ~150000 EGP/month in trades (~75 transactions at 2000 EGP avg),,,,,,
That is roughly 2-3 real sellers doing decent volume.,,,,,,
